DIFF1,DIFF2,DIFF3,DIFF4,DIFF5,DIFF6,DIFF7,DIFF8,DIFF9,DIFF10,DIFF11,DIFF12,DIFF13,DIFF14,DIFF15,DIFF16,DIFF17,DIFF18,DIFF19,DIFF20,DIFF21,DIFF22,DIFF23,DIFF24,DIFF25,DIFF26,DIFF27,DIFF28,DIFF29,DIFF30,DIFF31,DIFF32,DIFF33,DIFF34,DIFF35,DIFF36,DIFF37,DIFF38,DIFF39,DIFF40,DIFF41,DIFF42,DIFF43,DIFF44,DIFF45,DIFF46,DIFF47,DIFF48,DIFF49,DIFF50
30,30,45,45,45,3,14,34,76,17,17,10,38,4,41,31,42,9,87,12,91,16,51,52,79,145,73,101,60,158,30,66,150,5,25,195,169,0,0,0,0,0,0,0,0,0,0,0,0,0
45,45,48,48,48,54,14,32,52,5,22,3,78,70,20,69,9,52,7,61,42,74,83,43,72,75,54,13,48,107,21,45,144,142,172,8,54,0,0,0,0,0,0,0,0,0,0,0,0,0
48,48,3,3,3,23,77,16,42,4,68,38,9,3,4,39,153,96,91,17,19,27,7,80,8,31,37,32,3,86,68,68,168,101,188,127,150,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,7,7,7,98,27,20,49,46,55,78,82,35,47,9,7,34,70,13,4,33,13,48,19,43,35,71,100,27,120,30,29,284,80,62,160,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,18,18,18,8,29,45,148,41,142,9,145,30,13,110,7,3,97,63,35,59,108,8,145,21,137,60,120,196,12,301,96,87,61,234,15,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,36,36,36,44,22,15,199,10,45,82,4,103,52,4,71,142,38,91,16,86,33,80,87,56,83,61,90,67,216,10,94,237,53,77,163,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,3,3,3,155,12,190,102,17,10,145,54,27,125,109,9,133,44,42,74,81,32,60,75,26,33,4,36,82,77,86,95,70,89,268,11,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,38,38,38,14,12,141,17,22,3,4,15,9,199,90,41,24,98,19,27,51,130,79,31,74,142,61,48,120,7,65,4,84,106,89,50,0,0,0,0,0,0,0,0,0,0,0,0,0
38,38,16,16,16,14,79,31,14,68,38,54,3,41,28,27,9,16,39,4,33,83,27,72,43,7,102,67,103,84,25,107,100,66,128,114,77,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,23,23,23,77,49,63,17,55,78,15,35,20,18,42,9,87,12,35,59,7,3,8,21,84,4,23,45,147,68,96,30,63,107,197,92,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,98,98,98,27,8,9,5,142,9,3,30,4,31,9,8,7,61,16,86,13,57,19,56,91,42,51,42,80,77,51,115,120,152,71,130,0,0,0,0,0,0,0,0,0,0,0,0,0
98,98,8,8,8,29,21,20,4,45,82,12,103,16,69,54,52,91,17,74,81,108,32,145,26,73,43,48,6,81,57,25,126,127,61,28,258,0,0,0,0,0,0,0,0,0,0,0,0,0
